month,borough,day_type,trip_type,route_id,period,total_mileage,total_operating_time,average_speed
2023-10-01,Bronx,2,LCL/LTD,BX19,Peak,3319.459,537,6.173999
2023-11-01,Bronx,1,LCL/LTD,BX19,Off-Peak,24195.93,4162,5.8131523
2023-11-01,Bronx,1,LCL/LTD,BX19,Peak,9640.857,1837,5.2455726
2023-11-01,Bronx,2,LCL/LTD,BX19,Off-Peak,8755.062,1377,6.357159
2023-11-01,Bronx,2,LCL/LTD,BX19,Peak,3392.402,549,6.1682277
2023-12-01,Bronx,1,LCL/LTD,BX19,Off-Peak,23152.248,3946,5.866203
2023-12-01,Bronx,1,LCL/LTD,BX19,Peak,9104.181,1703,5.3434424
2023-12-01,Bronx,2,LCL/LTD,BX19,Off-Peak,11185.956,1745,6.4096255
2023-12-01,Bronx,2,LCL/LTD,BX19,Peak,4257.485,684,6.2179365
2024-01-01,Bronx,1,LCL/LTD,BX19,Off-Peak,24642.582,4172,5.9058676
2024-01-01,Bronx,1,LCL/LTD,BX19,Peak,9515.706,1817,5.236315
2024-01-01,Bronx,2,LCL/LTD,BX19,Off-Peak,10000.411,1527,6.547409
2024-01-01,Bronx,2,LCL/LTD,BX19,Peak,3775.865,604,6.2453547
2024-02-01,Bronx,1,LCL/LTD,BX19,Off-Peak,23091.979,3945,5.8527493
2024-02-01,Bronx,1,LCL/LTD,BX19,Peak,9320.845,1783,5.2271037
2024-02-01,Bronx,2,LCL/LTD,BX19,Off-Peak,9074.525,1416,6.40684
2024-02-01,Bronx,2,LCL/LTD,BX19,Peak,3460.866,567,6.0946116
2024-03-01,Bronx,1,LCL/LTD,BX19,Off-Peak,24075.13,4161,5.7849226
2024-03-01,Bronx,1,LCL/LTD,BX19,Peak,9361.959,1811,5.1678925
2024-03-01,Bronx,2,LCL/LTD,BX19,Off-Peak,10360.549,1629,6.356189
2024-03-01,Bronx,2,LCL/LTD,BX19,Peak,4010.772,648,6.1853557
2024-04-01,Bronx,1,LCL/LTD,BX19,Off-Peak,25988.137,4419,5.8804684
2024-04-01,Bronx,1,LCL/LTD,BX19,Peak,10575.116,1969,5.3699527
